,Gap Size,Start Index,End Index
0,7,2,8
1,2,193,194
2,14,201,214
3,6,216,221
4,4,263,266
5,6,359,364
6,9,445,453
7,4,458,461
8,6,479,484
9,7,873,879
10,1,938,938
11,2,955,956
12,1,999,999
13,1,1027,1027
14,2,1289,1290
15,9,1389,1397
16,1,1691,1691
17,1,1786,1786
18,29,2175,2203
19,1,2215,2215
20,2,2259,2260
21,1,2262,2262
22,13,2320,2332
23,8,2339,2346
24,1,2706,2706
25,2,2739,2740
26,2,2808,2809
27,1,2815,2815
28,1,2966,2966
29,1,3024,3024
30,6,3124,3129
31,1,3184,3184
32,4,3254,3257
33,1,3273,3273
34,1,3306,3306
35,12,3333,3344
36,1,3354,3354
